Title,price_per_sqft
Comfort & Convenience At an Affordable Price,3.3046357615894038
"$250 Visa Gift Card! Brand new flooring, appliances and so much more!",6.0835214446952595
"Sunny 2 bed/2 bath Spacious Condo, personal washer & dryer",2.536231884057971
BOTTOM FLOOR ONE BEDROOM! PG&E IS INCLUDED! $199 DEPOSIT!,3.2485207100591715
Elegant Three Bd. W/ Unique Wood-Burning Fireplace & Lakefront View!!,2.8681898066783833
Welcome Home! Warmth and convenience all in one.,2.4330900243309004
Luxury Townhome!Located Next To Everything!Limited Availability Hurry!,3.3712660028449504
Gorgeous one BR with in-unit W/D,4.209302325581396
Special Price For this Spacious Two Bedroom Cottage with huge patio,3.1839622641509435
Sit Back and Relax In This Wonderful Two Bedroom!,2.3336604514229635
Newly Renovated 1 Bedroom 1 Bath!2nd Floor w/BAY VIEW!,2.5104895104895104
Located in the Heart of Corte Madera / Georgeous Apartments,2.8043052837573383
"Sunnyvale 3/1.5bath, upgraded, conv. location",2.245833333333333
"Exec worthy condo, pool, gym & billiards- walk to shops!",2.4375
Bristol Commons Is Your New Home!!!,2.671818181818182
Lovely Renovated 1 BD 1 BTH In An Astounding Location! ,2.6907894736842106
" Available Now!!! High Ceilings, FirePlace Corner Unit",2.7588105726872247
"TopFlr w Gorgeous View in Safe Neighborhd Norbert, SBayCoBusStp, MUNI ",3.1
"2 Bed on Top floor with a cozy fireplace, pet approved home!",2.4613095238095237
♦COME AND SEE WHAT YOU HAVE BEEN MISSING♦,2.3418367346938775
Chic Remodeled 2BD 1 BTH End Suite Nov. Rent Free Upon Credit Approval,2.573529411764706
"Reserve Now! Nice 2 Bedroom, 2 Bathroom Available",2.362689393939394
"2X2 SPECIALSSSS!! Vaulted Ceilings,Fireplace,W/D,AC/HEAT. PETS OK!!",2.7824858757062145
Your new home awaits you,2.3438556933483654
"2 Bedrooms Available NOW Full Size Wash/Dryer, Home Alarm + more!",1.446774193548387
A Unique One Bedroom Layout! Very Open and Inviting!,2.7353463587921847
We have a GREAT Apartment waiting for you!! Come see today!,3.179376083188908
"Tennis Court, 7 Pools, & Driving Range at This Two Bedroom Apartment",3.1693121693121693
"5Br.-3Ba. Great house, location, floor plan and great schools...",1.494956772334294
STUNNING 5 Bedroom House in Beautiful Saratoga ~ A Must see!,1.735330836454432
Great Energy Modern Home,1.5208574739281575
Great Location! Great Two Bedroom Apt.!Washer&Dryer!,2.1055555555555556
Available Immediately! ,2.3553299492385786
ST HELENA WOODED HILLSIDE SETTING IN TOWN,1.5178571428571428
3BEDROOM 1BATH TOWNHOME W/ PATIO! PG&E INCLUDED! $199 DEPOSIT!,2.595895816890292
"Professionally Remodeled Home, 3br 2ba * cul-de-sac Professionally Red",0.6895687061183551
BREATHTAKING WIDE WATER VIEWS - 2 huge master suites!!,2.245789145352464
Furnished Turnkey Unit in Downtown Los Gatos,6.0625
Charming Los Gatos 2 Bedroom on Loma Alta!,2.942105263157895
Well Maintained Spacious 2 Br/1Ba Flat with City Light View,2.6529108327192334
3 bedroom home for rent,1.9285714285714286
Month to Month No Lease,1.8125
** CHARMING REMODELED 2BD/2BA NEAR HISTORIC DOWNTOWN **,3.05
Enhance Your Surroundings in Your New 2B/2BA Home at Pescadero! Comin,2.6034172661870505
Two Bedroom One Bath - Check This Out! Available December 15,3.0833333333333335
"Lease Your New Home Today! Great location, close to Levi's Stadium ",2.2565789473684212
GREAT Saratoga 3-Bedroom House with 3 Full Bathrooms,1.7135362014690452
Move In Now - Be Home for the Holiday's ,2.2008695652173915
"Convenient Access, Fitness Ctr, Personal Trainer, Public Transport",4.00990916597853
Adams Pt. 1 bdrm! Great location!,1.910179640718563
Spacious living & corner apt : eat-in kitchen : Laundry & POOL,1.840599455040872
Great Features - Price - Location - Spacious Large Townhome,1.5116279069767442
Tree house in San Anselmo ,2.56
Some Utilities Included! 1B/1B Townhome Available For Rent! ,1.8478260869565217
Lakeport Solar Home for Rent,0.7317073170731707
Brand New Apartment Homes! ,4.842105263157895
Extra large 2bd/2ba unit near Downtown ,1.9666666666666666
"Located near Apple Shuttle, Renovated, Wd Floors, WD in unit",2.566666666666667
~*~*~ Fall In Love With Our Community and Downtown Sunnyvale ~*~*~,2.6836917562724016
Beautiful!! FULLY RENOVATED **OPEN HOUSE Sat. Nov. 15th 12pm-3pm**,3.823529411764706
Ideal corner apartment :: Spacious living area and a Relaxing POOL,1.836734693877551
3BD/2BA Apartment with Quartz Countertops,1.9893939393939395
2ba Luxury Apartment - Finest Location in Napa,1.90552016985138
Don't wait! These spacious apartment homes are going fast!,2.063341250989707
Napa*Huge*5 Bed*loft*$3495 a month,0.9985714285714286
2 Bedroom Townhome Apartment Available Now. Enclosed Back Patio!,2.9107332624867164
THIS IS YOUR NEW HOME!! Updated Large 4 bedrooms/2.5 baths,1.8636363636363635
Spacious 1 bedroom! Private patio and walk in closet! ,2.9354375896700144
Downstairs 1B1B with a full size Washer & Dryer!! Move-in Now!!!,3.291012838801712
Large Home across from Golf Course! Near 85 and 101 in Santa Teresa!,1.469961653174265
Two Bedroom With Walk-In-Closet And Washer & Dryer!,2.719406674907293
"Spacious 2x1, Top Floor, Beautiful View of the Creek! Available NOW!!",1.937
Don't Wait Call Us Today!! Ask About #501.,2.8525
Charming Ross Home on Shady Lane --PRANDI,3.5714285714285716
$750 Off On First Month's Rent /Remodeled,1.75
Newly updated 3 bed 2 bath single family home,3.769230769230769
Available mid-Nov! 1BR Townhome w/ Private Patio! Near PA & MV,3.74375
"$2,145 808 SQ FT WITH FREE PARKING! CALL NOW!",2.6547029702970297
"1 MONTH FREE! 2br/1.5ba Townhouse, Washer/Dryer, Los Gatos Schools",2.2222222222222223
Large Townhouse Ready Now Near Apple Cupertino Schools Pool Spa,2.631818181818182
"Westwood Park 3 Bedrm,1.5 Bath ",2.3157894736842106
Woodburning Fireplace in This Huge One Bedroom Apartment Home,1.7675675675675675
"Affordable Two Bedroom Near Public Transportation, Shopping and Dining",2.176
Beautiful 4/3 Home in Brentwood & Close to Hwy-4 Bypass & Excellent Scho,1.0401548137397194
Sophisticated City Living,3.1944444444444446
SPECTACULAR WATER VIEWS AVAILABLE,3.007079646017699
Close to University of California San Francisco,2.942857142857143
"Top floor condo, centrally located to downtown, BART, SFO, convenience",3.2724719101123596
This Gorgeous Studio Is near the Best of Palo Alto & Mountain View,4.047169811320755
