,magnitude,depth
0,4.4,107.82
1,5.4,10.0
2,4.3,10.0
3,3.2,15.0
4,2.7,20.3
5,3.3,0.1
6,4.6,10.0
7,4.8,135.7
8,2.8,5.2
9,3.46,89.0
10,3.04,113.0
11,4.9,128.23
12,4.4,10.0
13,2.5,9.6
14,2.9,0.0
15,4.7,162.92
16,5.7,27.36
17,3.3,0.0
18,3.0,6.23
19,5.7,10.0
20,5.5,10.0
21,3.22,86.0
22,2.8,7.54
23,2.67,32.58
24,4.9,10.0
25,2.7,41.3
26,4.8,47.15
27,2.5,3.42
28,4.8,10.0
29,4.7,10.0
30,5.1,40.96
31,4.8,10.0
32,2.8,0.2
33,4.6,101.69
34,3.2,1.9
35,2.57,14.38
36,3.3,45.3
37,4.4,10.0
38,4.4,66.86
39,3.36,51.0
40,5.0,110.77
41,2.7,0.0
42,4.4,15.9
43,3.03,32.0
44,2.7,5.0
45,5.2,61.46
46,2.65,33.0
47,4.9,10.0
48,4.9,10.0
49,2.94,68.0
50,2.64,48.0
51,2.9,10.0
52,5.0,35.0
53,2.9,3.4
54,3.05,46.0
55,2.7,32.9
56,2.97,8.0
57,5.0,44.04
58,2.9,0.0
59,3.0,7.61
60,3.1,13.4
61,2.6,5.4
62,3.3,24.4
63,5.1,10.0
64,5.2,9.3
65,4.7,10.0
66,2.5,5.0
67,5.7,7.09
68,5.0,10.0
69,5.0,8.28
70,4.9,63.0
71,2.8,12.0
72,5.6,129.13
73,4.0,54.54
74,2.6,5.0
75,2.7,0.0
76,2.5,36.1
77,4.7,10.0
78,2.9,10.0
79,5.0,10.0
80,6.4,29.0
81,2.99,109.0
82,5.1,48.12
83,4.3,10.0
84,2.7,14.2
85,4.1,33.68
86,4.3,10.0
87,4.7,51.42
88,2.5,18.7
89,2.64,10.0
90,5.6,10.0
91,2.8,73.8
92,2.99,99.0
93,3.17,94.0
94,3.42,83.0
95,4.7,10.0
96,5.3,10.0
97,2.45,23.0
98,3.3,91.3
99,4.5,46.57
100,3.27,112.0
101,3.3,38.8
102,2.89,87.0
103,5.7,17.86
104,4.4,57.15
105,3.0,10.0
106,2.96,70.0
107,4.8,10.0
108,2.7,12.7
109,4.9,35.0
110,3.37,17.07
111,2.93,122.0
112,4.8,42.11
113,3.15,78.0
114,4.5,506.62
115,4.6,62.46
116,2.66,40.0
117,4.2,65.28
118,4.1,5.0
119,4.4,10.69
120,5.4,22.68
121,4.4,120.05
122,3.4,1.9
123,4.2,35.0
124,3.5,20.01
125,4.8,39.81
126,5.1,37.11
127,4.8,35.0
128,2.9,1.8
129,2.8,149.1
130,2.55,10.24
131,4.0,406.74
132,2.51,7.46
133,3.8,43.27
134,2.46,59.0
135,4.6,35.0
136,2.72,84.0
137,2.87,38.0
138,2.9,8.4
139,2.6,11.2
140,2.8,0.0
141,4.5,10.0
142,2.6,2.24
143,2.75,8.55
144,4.4,10.0
145,4.5,10.0
146,2.9,0.0
147,2.9,5.0
148,2.5,13.2
149,4.8,37.17
150,4.49,0.76
151,3.32,6.01
152,4.4,65.0
153,4.2,10.0
154,4.4,73.44
155,4.6,10.0
156,3.8,5.0
157,4.8,10.0
158,4.5,38.92
159,5.9,10.0
160,2.7,5.0
161,2.61,15.59
162,4.4,44.05
163,4.8,103.59
164,4.0,66.25
165,2.71,10.0
166,2.52,-0.45
167,3.44,33.0
168,3.43,72.0
169,2.97,61.0
170,4.6,10.0
171,2.89,7.0
172,2.8,5.0
173,4.6,10.0
174,2.5,5.0
175,2.8,5.7
176,2.6,0.1
177,3.38,60.0
178,2.9,58.0
179,2.59,5.74
180,4.4,231.68
181,4.6,79.92
182,4.2,76.64
183,2.98,6.53
184,2.54,74.0
185,2.82,23.4
186,4.9,66.28
187,3.09,3.43
188,4.2,16.58
189,2.9,0.5
190,4.9,10.0
191,5.4,10.0
192,2.8,20.91
193,2.8,0.0
194,3.4,19.76
195,2.5,14.0
196,2.7,2.2
197,4.3,152.27
198,2.58,48.0
199,4.5,16.49
200,3.8,89.43
201,2.48,12.66
202,2.73,9.21
203,2.8,35.7
204,4.5,10.0
205,2.85,6.09
206,4.3,35.0
207,4.2,208.06
208,4.4,34.91
209,2.5,184.9
210,2.71,98.0
211,3.5,10.0
212,3.2,38.0
213,2.6,0.0
214,2.87,10.24
215,5.5,10.9
216,2.7,5.42
217,5.6,14.75
218,2.5,13.49
219,4.9,121.54
220,2.99,57.0
221,5.3,10.0
222,2.7,15.3
223,2.58,67.0
224,4.1,10.0
225,4.8,10.0
226,4.3,10.0
227,2.8,53.2
228,2.8,5.0
229,3.06,12.0
230,2.84,24.65
231,4.3,10.0
232,2.94,24.0
233,2.7,19.89
234,3.1,34.91
235,2.82,42.0
236,4.6,165.11
237,4.5,10.0
238,2.9,0.0
239,4.9,10.0
240,3.79,19.5
241,2.49,8.0
242,3.35,31.0
243,6.0,10.0
244,2.57,6.96
245,5.2,69.04
246,2.61,8.94
247,2.93,19.0
248,3.9,35.0
249,2.5,10.0
250,3.2,32.4
251,4.5,10.0
252,2.8,10.0
253,3.1,0.0
254,4.8,12.12
255,2.78,4.0
256,4.6,558.63
257,4.8,507.97
258,5.2,13.56
259,2.47,4.89
260,3.2,7.96
261,3.7,10.0
262,4.4,42.55
263,4.6,99.41
264,4.2,25.94
265,2.8,17.8
266,4.8,342.06
267,2.5,19.6
268,2.6,69.0
269,2.7,37.1
270,4.2,114.94
271,4.4,145.38
272,4.9,35.0
273,7.0,257.42
274,2.56,105.0
275,4.7,35.0
276,2.6,14.7
277,2.8,20.11
278,3.1,37.9
279,4.0,10.0
280,3.3,19.35
281,2.61,23.0
282,4.8,10.0
283,3.0,10.0
284,2.45,26.95
285,4.2,10.0
286,3.3,10.0
