LANEWID,Total
9,146
9,40
9,27
9,24
9,24
9,26
9,23
9,24
9,21
9,18
9,16
9,15
9,14
9,14
9,12
9,16
9,13
9,15
9,13
9,13
9,16
9,15
9,11
9,10
9,19
9,15
9,11
9,15
9,10
9,10
9,10
9,12
9,10
9,13
9,15
9,9
9,9
9,9
9,9
9,10
9,9
9,10
9,10
9,11
9,9
9,8
9,8
9,12
9,12
9,10
9,9
9,12
9,11
9,11
9,8
9,8
9,12
9,10
9,8
9,8
9,8
9,8
9,8
9,8
9,9
9,10
9,10
9,10
9,8
9,8
9,8
9,7
9,10
9,9
9,8
9,11
9,8
9,7
9,7
9,8
9,8
9,7
9,8
9,9
9,9
9,9
9,8
9,7
9,7
9,8
9,11
9,8
9,7
9,7
9,8
9,7
9,9
9,8
9,10
9,9
9,7
9,15
9,7
9,6
9,7
9,8
9,6
9,6
9,7
9,6
9,6
9,6
9,7
9,6
9,6
9,7
9,11
9,10
9,8
9,6
9,6
9,7
9,8
9,7
9,7
9,8
9,8
9,6
9,6
9,6
9,6
9,7
9,6
9,6
9,8
9,6
9,6
9,7
9,6
9,9
9,6
9,6
9,8
9,6
9,6
9,6
9,6
9,7
9,11
9,7
9,7
9,8
9,6
9,6
9,8
9,9
9,6
9,7
9,7
9,7
9,6
9,6
9,7
9,7
9,8
9,8
9,7
9,6
9,7
9,6
9,6
9,7
9,11
9,7
9,6
9,5
9,5
9,5
9,5
9,5
9,6
9,5
9,5
9,7
9,6
9,5
9,5
9,5
9,5
9,5
9,5
9,6
9,5
9,7
9,7
9,6
9,7
9,5
9,5
9,6
9,5
9,5
9,5
9,5
9,8
9,6
9,6
9,6
9,6
9,5
9,5
9,6
9,7
9,6
9,7
9,5
9,6
9,6
9,7
9,6
9,6
9,6
9,6
9,7
9,5
9,7
9,7
9,5
9,5
9,6
9,9
9,8
9,5
9,5
9,5
9,5
9,9
9,5
9,6
9,6
9,6
9,5
9,7
9,5
9,8
9,6
9,6
9,10
9,6
9,6
9,6
9,6
9,6
9,5
9,5
9,5
9,7
9,6
9,8
9,7
9,10
9,5
9,6
9,6
9,5
9,5
9,6
9,6
9,6
9,5
9,5
9,5
9,6
9,5
9,7
9,8
9,10
9,6
9,7
9,5
9,5
9,9
9,5
9,4
9,4
9,5
9,7
9,5
9,5
9,7
9,7
9,5
9,12
9,7
9,5
9,6
9,4
9,6
9,5
9,5
9,6
9,7
9,6
9,5
9,4
9,5
9,5
9,5
9,5
9,5
9,6
9,5
9,5
9,5
9,5
9,5
9,5
9,5
9,4
9,4
9,4
9,4
9,5
9,4
9,4
9,5
9,5
9,4
9,4
9,5
9,4
9,5
9,5
9,6
9,6
9,4
9,4
9,6
9,5
9,8
9,4
9,4
9,4
9,8
9,4
9,4
9,5
9,5
9,4
9,4
9,6
9,5
9,5
9,5
9,9
9,4
9,6
9,5
9,4
9,4
9,5
9,6
9,4
9,4
9,4
9,4
9,6
9,5
9,5
9,5
9,4
9,6
9,4
9,4
9,5
9,5
9,4
9,5
9,5
9,6
9,6
9,8
9,8
9,6
9,4
9,4
9,4
9,4
9,4
9,4
9,4
9,5
9,10
9,4
9,5
9,4
9,6
9,4
9,5
9,4
9,7
9,4
9,4
9,6
9,6
9,4
9,4
9,5
9,5
9,4
9,4
9,4
9,5
9,6
9,4
9,4
9,4
9,9
9,4
9,6
9,4
9,6
9,4
9,4
9,5
9,4
9,4
9,5
9,5
9,4
9,4
9,4
9,5
9,4
9,4
9,5
9,4
9,4
9,5
9,4
9,4
9,6
9,4
9,4
9,4
9,5
9,4
9,5
9,4
9,5
9,5
9,7
9,5
9,6
9,5
9,5
9,6
9,5
9,5
9,4
9,8
9,4
9,7
9,4
9,5
9,4
9,4
9,5
9,6
9,5
9,5
9,4
9,4
9,4
9,4
9,4
9,5
9,4
9,7
9,4
9,4
9,5
9,4
9,5
9,5
9,7
9,4
9,4
9,4
9,5
9,6
9,4
9,4
9,4
9,4
9,6
9,5
9,5
9,6
9,6
9,4
9,4
9,4
9,4
9,4
9,4
9,6
9,5
9,4
9,8
9,5
9,4
9,4
9,4
9,4
9,4
9,4
9,5
9,5
9,5
9,4
9,4
9,4
9,4
9,5
9,6
9,4
9,4
9,4
9,4
9,4
9,4
9,4
9,4
9,8
9,4
9,4
9,4
9,5
9,6
9,5
9,4
9,4
9,4
9,4
9,4
9,6
9,5
9,8
9,4
9,8
9,8
9,4
9,5
9,4
9,5
9,4
9,4
9,4
9,5
9,4
9,4
9,3
9,4
9,4
9,6
9,4
9,3
9,4
9,4
9,6
9,5
9,6
9,5
9,5
9,3
9,4
9,5
9,4
9,4
9,4
9,5
9,3
9,3
9,3
9,5
9,3
9,4
9,4
9,4
9,5
9,5
9,4
9,4
9,4
9,3
9,3
9,4
9,7
9,4
9,4
9,3
9,4
9,3
9,3
9,3
9,3
9,3
9,3
9,3
9,4
9,4
9,3
9,3
9,5
9,3
9,3
9,4
9,4
9,3
9,3
9,4
9,4
9,4
9,4
9,4
9,3
9,4
9,5
9,4
9,4
9,4
9,3
9,3
9,3
9,4
9,4
9,5
9,3
9,3
9,4
9,3
9,4
9,3
9,3
9,3
9,3
9,3
9,4
9,4
9,4
9,3
9,3
9,4
9,3
9,3
9,3
9,4
9,4
9,3
9,3
9,3
9,3
9,3
9,8
9,5
9,4
9,3
9,3
9,3
9,5
9,3
9,4
9,3
9,3
9,3
9,3
9,4
9,4
9,4
9,4
9,5
9,5
9,4
9,3
9,3
9,3
9,4
9,4
9,4
9,4
9,3
9,3
9,3
9,3
9,3
9,3
9,3
9,3
9,4
9,4
9,3
9,3
9,3
9,4
9,3
9,3
9,3
9,4
9,4
9,3
9,3
9,4
9,4
9,3
9,3
9,3
9,3
9,4
9,3
9,6
9,7
9,4
9,4
9,5
9,4
9,3
9,3
9,4
9,3
9,3
9,4
9,3
9,3
9,3
9,3
9,3
9,3
9,3
9,3
9,3
9,3
9,4
9,4
9,3
9,4
9,4
9,3
9,3
9,5
9,3
9,3
9,4
9,3
9,3
9,4
9,4
9,7
9,5
9,5
9,3
9,3
9,3
9,3
9,3
9,5
9,5
9,4
9,5
9,3
9,3
9,3
9,3
9,3
9,4
9,4
9,3
9,5
9,3
9,3
9,3
9,3
9,3
9,5
9,4
9,3
9,3
9,3
9,4
9,3
9,3
9,5
9,3
9,3
9,3
9,4
9,3
9,3
9,3
9,4
9,3
9,4
9,3
9,3
9,3
9,3
9,6
9,4
9,3
9,8
9,4
9,4
9,3
9,3
9,3
9,4
9,3
9,3
9,4
9,3
9,3
9,3
9,3
9,4
9,5
9,4
9,3
9,5
9,3
9,3
9,3
9,4
9,6
9,4
9,7
9,7
9,4
9,3
9,3
9,3
9,4
9,3
9,3
9,3
9,3
9,3
9,3
9,3
9,3
9,4
9,3
9,3
9,3
9,5
9,3
9,3
9,3
9,4
9,4
9,4
9,3
9,3
9,3
9,4
9,4
9,4
9,4
9,3
9,3
9,3
9,3
9,3
9,3
9,3
9,4
9,4
9,3
9,3
9,4
9,4
9,3
9,3
9,3
9,3
9,3
9,3
9,3
9,5
9,5
9,3
9,4
9,3
9,3
9,3
9,3
9,4
9,3
9,3
9,4
9,3
9,3
9,3
9,6
9,3
9,3
9,3
9,3
9,3
9,5
9,4
9,3
9,7
9,4
9,4
9,3
9,3
9,3
9,4
9,4
9,3
9,4
9,3
9,3
9,3
9,3
9,4
9,4
9,4
9,4
9,3
9,3
9,3
9,4
9,3
9,3
9,3
9,4
9,3
9,4
9,3
9,3
9,3
9,3
9,3
9,3
9,3
9,6
9,4
9,3
9,3
9,4
9,3
9,3
9,3
9,3
9,3
9,3
9,3
9,4
9,3
9,3
9,3
9,3
9,4
9,4
9,3
9,3
9,3
9,3
9,4
9,3
9,3
9,5
9,3
9,3
9,3
9,4
9,3
9,3
9,3
9,3
9,4
9,4
9,3
9,4
9,3
9,3
9,3
9,3
9,3
9,3
9,3
9,3
9,4
9,3
9,3
9,4
9,3
9,4
9,4
9,3
9,3
9,3
9,3
9,3
9,3
9,3
9,3
9,4
9,4
9,3
9,3
9,3
9,3
9,3
9,3
9,3
9,3
9,4
9,3
9,3
9,3
9,4
9,4
9,4
9,3
9,5
9,3
9,7
9,3
9,3
9,4
9,4
9,3
9,3
9,3
9,4
9,3
9,3
9,3
9,4
9,3
9,4
9,6
9,4
9,3
9,3
9,5
9,3
9,3
9,3
9,3
9,3
9,3
9,3
9,4
9,5
9,3
9,4
9,4
9,3
9,3
9,3
9,4
9,3
9,3
9,3
9,3
9,3
9,4
9,3
9,3
9,5
9,3
9,3
9,3
9,3
9,4
9,3
9,3
9,3
9,3
9,3
9,6
9,3
9,3
9,3
9,6
9,3
9,3
9,3
9,3
9,3
9,5
9,3
9,4
9,3
9,3
9,3
